[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2140: was 0x00000000fef613a0
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2141: was 0x00000000fef55e40
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2142: was 0x00000000fef60258
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2143: was 0x00000000fef5b730
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2144: was 0x00000000fef63a40
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2145: was 0x00000000fef5b838
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2146: was 0x00000000fef62cb0
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2147: was 0x00000000fef58f60
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2148: was 0x00000000fef5da50
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2149: was 0x00000000fef5ba70
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2150: was 0x00000000fef5fe08
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2151: was 0x00000000fef614c8
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2152: was 0x00000000fef60360
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2153: was 0x00000000fef605b8
[2026-04-23T01:44:39.257-0400][0.055s][982792][982793][debug] Clearing root 2154: was 0x00000000fef60870
[2026-04-23T01:44:39.257-0400][0.056s][982792][982793][debug] Clearing root 2155: was 0x00000000fef61148
[2026-04-23T01:44:39.257-0400][0.056s][982792][982793][debug] Clearing root 2156: was 0x00000000fef5f418
[2026-04-23T01:44:39.257-0400][0.056s][982792][982793][debug] Clearing root 2157: was 0x00000000fef5f2f0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 18: was 0x00000000fef00938
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 97: was 0x00000000fef02a08
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 26: was 0x00000000fef00d58
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 373: was 0x00000000fef0a920
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 363: was 0x00000000fef0a490
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 20: was 0x00000000fef009f0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 17: was 0x00000000fef008c8
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored java.lang.Object archived mirror 0x00000000fef008c8
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 245: was 0x00000000fef06a98
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored [Ljava.lang.Object; archived mirror 0x00000000fef06a98
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 1532: was 0x00000000fef2a9d8
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored [[Ljava.lang.Object; archived mirror 0x00000000fef2a9d8
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 119: was 0x00000000fef03380
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored java.io.Serializable archived mirror 0x00000000fef03380
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 743: was 0x00000000fef146e0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000000fef146e0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 314: was 0x00000000fef08e38
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored java.lang.Comparable archived mirror 0x00000000fef08e38
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 747: was 0x00000000fef148a0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000000fef148a0
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 96: was 0x00000000fef02998
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][trace] Restored java.lang.CharSequence archived mirror 0x00000000fef02998
[2026-04-23T01:44:39.258-0400][0.056s][982792][982793][debug] Clearing root 317: was 0x00000000fef08f88
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.CharSequence; archived mirror 0x00000000fef08f88
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][debug] Clearing root 315: was 0x00000000fef08ea8
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][trace] Restored java.lang.constant.Constable archived mirror 0x00000000fef08ea8
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][debug] Clearing root 738: was 0x00000000fef144b0
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000000fef144b0
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][debug] Clearing root 316: was 0x00000000fef08f18
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000000fef08f18
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][debug] Clearing root 752: was 0x00000000fef14ad0
[2026-04-23T01:44:39.258-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.constant.ConstantDesc; archived mirror 0x00000000fef14ad0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 25: was 0x00000000fef00cd0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.String archived mirror 0x00000000fef00cd0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 246: was 0x00000000fef06b08
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.String; archived mirror 0x00000000fef06b08
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 372: was 0x00000000fef0a8b0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.reflect.AnnotatedElement archived mirror 0x00000000fef0a8b0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 741: was 0x00000000fef14600
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.reflect.AnnotatedElement; archived mirror 0x00000000fef14600
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 362: was 0x00000000fef0a420
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.reflect.GenericDeclaration archived mirror 0x00000000fef0a420
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 742: was 0x00000000fef14670
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.reflect.GenericDeclaration; archived mirror 0x00000000fef14670
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 371: was 0x00000000fef0a840
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.reflect.Type archived mirror 0x00000000fef0a840
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 375: was 0x00000000fef0a9d8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.reflect.Type; archived mirror 0x00000000fef0a9d8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 378: was 0x00000000fef0aaf0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.invoke.TypeDescriptor archived mirror 0x00000000fef0aaf0
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 739: was 0x00000000fef14520
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.invoke.TypeDescriptor; archived mirror 0x00000000fef14520
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 374: was 0x00000000fef0a968
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.invoke.TypeDescriptor$OfField archived mirror 0x00000000fef0a968
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 740: was 0x00000000fef14590
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.invoke.TypeDescriptor$OfField; archived mirror 0x00000000fef14590
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 19: was 0x00000000fef00958
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.Class archived mirror 0x00000000fef00958
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 244: was 0x00000000fef06a28
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.Class; archived mirror 0x00000000fef06a28
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 35: was 0x00000000fef010a8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.Cloneable archived mirror 0x00000000fef010a8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 2011: was 0x00000000fef379d8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.Cloneable; archived mirror 0x00000000fef379d8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 38: was 0x00000000fef01218
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.ClassLoader archived mirror 0x00000000fef01218
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 39: was 0x00000000fef01298
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 546: was 0x00000000fef0ef68
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored [Ljava.lang.ClassLoader; archived mirror 0x00000000fef0ef68
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 15: was 0x00000000fef00770
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.System archived mirror 0x00000000fef00770
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 16: was 0x00000000fef00810
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 36: was 0x00000000fef01118
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][trace] Restored java.lang.Throwable archived mirror 0x00000000fef01118
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 37: was 0x00000000fef011b8
[2026-04-23T01:44:39.259-0400][0.057s][982792][982793][debug] Clearing root 435: was 0x00000000fef0c290
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][trace] Restored [Ljava.lang.Throwable; archived mirror 0x00000000fef0c290
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][debug] Clearing root 164: was 0x00000000fef04668
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][trace] Restored java.lang.Error archived mirror 0x00000000fef04668
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][debug] Clearing root 744: was 0x00000000fef14750
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][trace] Restored [Ljava.lang.Error; archived mirror 0x00000000fef14750
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][debug] Clearing root 40: was 0x00000000fef01350
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][trace] Restored java.lang.ThreadDeath archived mirror 0x00000000fef01350
[2026-04-23T01:44:39.259-0400][0.058s][982792][982793][debug] Clearing root 162: was 0x00000000fef04578
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.Exception archived mirror 0x00000000fef04578
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 163: was 0x00000000fef045f0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.RuntimeException archived mirror 0x00000000fef045f0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 98: was 0x00000000fef02a38
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.SecurityManager archived mirror 0x00000000fef02a38
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 99: was 0x00000000fef02ac8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 106: was 0x00000000fef02e10
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.security.ProtectionDomain archived mirror 0x00000000fef02e10
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 107: was 0x00000000fef02e88
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 241: was 0x00000000fef068d8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored [Ljava.security.ProtectionDomain; archived mirror 0x00000000fef068d8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 100: was 0x00000000fef02be8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.security.AccessControlContext archived mirror 0x00000000fef02be8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 101: was 0x00000000fef02c60
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 102: was 0x00000000fef02ca8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.security.AccessController archived mirror 0x00000000fef02ca8
